@params:A1 Pan < Env|A1 Pan < Key|A1 Pan < LFO|A2 Pan < Env|A2 Pan < Key|A2 Pan < LFO|AEG1 < Vel|AEG1 A < Vel|AEG1 Attack|AEG1 Decay|AEG1 Exp|AEG1 Free|AEG1 Legato|AEG1 Loop|AEG1 Rel|AEG1 S Time|AEG1 Sustain|AEG2 < Vel|AEG2 A < Vel|AEG2 Attack|AEG2 Decay|AEG2 Exp|AEG2 Free|AEG2 Legato|AEG2 Loop|AEG2 Rel|AEG2 S Time|AEG2 Sustain|AMP1 < Key|AMP1 < LFO|AMP1 Level|AMP1 On/Off|AMP1 Pan|AMP2 < Key|AMP2 < LFO|AMP2 Level|AMP2 On/Off|AMP2 Pan|Detune|F1 Drive|F1 Freq|F1 Freq < Env|F1 Freq < Key|F1 Freq < LFO|F1 On/Off|F1 Res < Env|F1 Res < LFO|F1 Reso < Key|F1 Resonance|F1 To F2|F1 Type|F2 Drive|F2 Freq|F2 Freq < Env|F2 Freq < Key|F2 Freq < LFO|F2 On/Off|F2 Res < Env|F2 Res < LFO|F2 Reso < Key|F2 Resonance|F2 Slave|F2 Type|FEG1 < Vel|FEG1 A < Vel|FEG1 Attack|FEG1 Decay|FEG1 Exp|FEG1 Free|FEG1 Legato|FEG1 Loop|FEG1 Rel|FEG1 S Time|FEG1 Sustain|FEG2 < Vel|FEG2 A < Vel|FEG2 Attack|FEG2 Decay|FEG2 Exp|FEG2 Free|FEG2 Legato|FEG2 Loop|FEG2 Rel|FEG2 S Time|FEG2 Sustain|Glide Legato|Glide Mode|Glide On/Off|Glide Time|Key Error|Key Priority|Key Stretch|LFO1 Delay|LFO1 Fade In|LFO1 On/Off|LFO1 PW|LFO1 Phase|LFO1 Retrig|LFO1 Shape|LFO1 SncRate|LFO1 Speed|LFO1 Sync|LFO2 Delay|LFO2 Fade In|LFO2 On/Off|LFO2 PW|LFO2 Phase|LFO2 Retrig|LFO2 Shape|LFO2 SncRate|LFO2 Speed|LFO2 Sync|Noise Balance|Noise Color|Noise Level|Noise On/Off|Note PB Range|O1 Keytrack|O1 PW < LFO|O1 Sub/Sync|O2 Keytrack|O2 PW < LFO|O2 Sub/Sync|OSC1 < LFO|OSC1 Balance|OSC1 Detune|OSC1 Level|OSC1 Mode|OSC1 Octave|OSC1 On/Off|OSC1 PW|OSC1 Semi|OSC1 Shape|OSC2 < LFO|OSC2 Balance|OSC2 Detune|OSC2 Level|OSC2 Mode|OSC2 Octave|OSC2 On/Off|OSC2 PW|OSC2 Semi|OSC2 Shape|Octave|PB Range|PEG1 Amount|PEG1 Time|PEG2 Amount|PEG2 Time|Press Amt A|Press Amt B|Press Dest A|Press Dest B|Semitone|Slide Amt A|Slide Amt B|Slide Dest A|Slide Dest B|Unison Delay|Unison Detune|Unison On/Off|Unison Voices|Vib < ModWh|Vib Amount|Vib Delay|Vib Error|Vib Fade-In|Vib On/Off|Vib Speed|Voices|Volume
80s Synth Brass:0.0|-0.078125|0.0|0.0|0.078125|0.0|0.248046875|0.1240234375|0.0|1.0|0.0|0.0|0.0|0.0|0.4453125|1.0|1.0|0.25|0.1240234375|0.0|1.0|0.0|0.0|0.0|0.0|0.4453125|1.0|1.0|0.0|0.0|0.5158730149269104|1.0|0.5|0.0|0.0|0.523809552192688|1.0|0.5|0.5|5.0|0.4881889820098877|0.7047610282897949|0.0|0.0|1.0|0.234375|0.0|0.359375|0.0476190485060215|0.0|1.0|1.0|0.0|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.1240234375|0.34545454382896423|0.7636363506317139|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.38181817531585693|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.296875|2.0|0.824999988079071|0.0|0.0|1.0|0.5|0.0|1.0|0.0|10.0|0.7301587462425232|1.0|0.0|0.0|1.0|0.5|0.0|1.0|0.0|10.0|0.7301587462425232|1.0|1.0|0.5|0.8062000274658203|0.0|48.0|0.5|1.0|0.0|0.5|1.0|0.0|0.0|1.0|0.6000000238418579|0.8058600425720215|0.0|-1.0|1.0|1.0|0.0|2.0|0.0|0.0|0.4000000059604645|0.8058600425720215|0.0|-1.0|1.0|1.0|12.0|2.0|0.0|0.1666666716337204|0.23529410362243652|0.35668790340423584|0.11764705181121826|0.6369426846504211|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.7421875|0.453125|0.046875|0.1640625|0.296875|1.0|0.484375|3.0|0.5873016119003296
80s VCO Brass:0.0|0.0|0.6111111044883728|0.0|0.0|0.6746031641960144|0.248046875|0.0|0.0|0.3671875|1.0|0.0|0.0|0.0|0.265625|0.8571428656578064|1.0|0.248046875|0.0|0.109375|0.3671875|1.0|0.0|0.0|0.0|0.2578125|1.0|1.0|-0.375|0.3125|0.6746031641960144|1.0|0.6190476417541504|-0.4375|0.40625|0.738095223903656|1.0|0.3333333432674408|0.5|0.0|0.420634925365448|0.703125|0.0|0.5714285969734192|1.0|0.0|0.0|0.0|0.2063492089509964|0.1484375|1.0|0.0|0.658730149269104|0.796875|0.1875|0.3046875|1.0|0.0|0.0|0.0|0.296875|0.0|1.0|0.0|0.15625|0.421875|0.71875|1.0|0.0|0.0|0.0|0.6000000238418579|1.0|0.0234375|0.0|0.0|0.0|0.7734375|1.0|0.0|0.0|0.0|0.359375|1.0|0.0|0.0|1.0|0.0|0.5|0.359375|1.0|0.7857142686843872|0.0|0.0|1.0|0.5|0.0|1.0|0.0|4.0|0.3730158805847168|1.0|0.0|0.0|1.0|0.5|0.0|1.0|0.0|3.0|0.5|1.0|0.5|0.5|0.8062000274658203|0.0|0.0|0.5|0.0|0.0|0.5|0.0|0.0|0.0|1.0|0.5476190447807312|0.6640625|1.0|-1.0|1.0|0.3515625|0.0|1.0|0.0|0.0|0.4126984179019928|0.6328125|0.0|0.0|1.0|0.3515625|-12.0|1.0|0.0|0.5|0.0|0.484375|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.0390625|1.0|0.0|0.817460298538208|0.0|0.3984375|0.0|0.46875|1.0|0.5|5.0|0.4426840841770172
Accordion Unisono Pad:0.0|0.5|-0.5|0.0|0.5|-0.5|0.1240234375|0.171875|0.484375|0.4921875|1.0|0.0|0.0|0.0|0.3203125|1.0|0.841269850730896|0.1240234375|0.171875|0.4960629940032959|0.523809552192688|1.0|0.0|0.0|0.0|0.21875|1.0|0.841269850730896|0.0|0.0|0.4761904776096344|1.0|0.1484375|-0.03125|0.0|0.390625|1.0|0.8492063283920288|0.5|4.0|0.9055117964744568|-0.7063491940498352|-0.2265625|0.0|1.0|0.0234375|0.015625|0.0|0.30708661675453186|0.0|1.0|4.0|0.9055117964744568|-0.7063491940498352|-0.2890625|0.0|1.0|0.0234375|0.03125|0.0|0.30708661675453186|0.0|1.0|0.171875|0.1953125|0.8333333134651184|0.171875|0.0|0.0|0.0|0.0|0.841269850730896|1.0|1.0|0.171875|0.1953125|0.8333333134651184|0.171875|0.0|0.0|0.0|0.0|0.841269850730896|1.0|1.0|0.0|1.0|1.0|0.3203125|0.0078125|2.0|0.5|0.0|0.0|0.0|0.5|0.0|0.0|0.0|14.0|0.0859375|0.0|0.0|0.0|1.0|0.5|0.0|0.0|0.0|14.0|0.046875|0.0|0.5|1.0|0.0|0.0|0.0|0.5|0.0|0.5793651342391968|0.5|0.0|0.5158730149269104|0.0|0.5|0.5714285969734192|1.0|0.0|-1.0|1.0|1.0|0.0|2.0|0.0|0.46875|0.4100000858306885|1.0|0.0|-1.0|1.0|0.3515625|0.0|2.0|1.0|0.5|0.0|0.0234375|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.4765625|0.0078125|1.0|0.0|0.738095223903656|0.06299212574958801|0.296875|0.0|0.296875|1.0|0.375|3.0|0.35162487626075745
Analog 80 Bass:0.0|0.0|0.0|0.0|0.0|0.0|0.3984375|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.6000000238418579|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.12727272510528564|1.0|1.0|0.0|0.0|0.7539682388305664|1.0|0.5|0.0|0.0|0.7757812738418579|1.0|0.5|0.5|0.0|0.0|0.7595299482345581|0.2734375|0.0|1.0|0.0|0.0|0.0|0.2936508059501648|0.0|1.0|0.0|0.3095238208770752|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.3650793731212616|0.0|0.0|0.1640625|0.0|0.0|0.6532425880432129|1.0|0.0|0.0|0.0|0.4499274790287018|0.0|0.0|1.0|0.0|0.0|0.8616324067115784|1.0|0.0|0.0|0.0|0.4499274790287018|1.0|1.0|1.0|1.0|0.0|0.5|0.0|2.0|0.5|0.0|0.0|1.0|0.5|0.0|0.0|0.0|0.0|0.4444444477558136|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.5317460298538208|0.0|1.0|0.60317462682724|0.34375|1.0|48.0|0.5|0.625|0.3515625|0.5|0.0|0.8203125|0.0|1.0|0.5317460298538208|0.8062000274658203|0.0|-1.0|1.0|0.8671875|0.0|2.0|0.0|0.0|0.5|0.5546875|0.0|0.0|1.0|0.3515625|0.0|2.0|1.0|0.16640624403953552|0.17647063732147217|0.484375|0.0|0.34375|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.5078125|1.0|0.0|1.0|0.75|0.296875|0.0|0.296875|1.0|0.5390625|0.0|0.40625
Analog Buzz Bass:0.046875|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.6545454263687134|1.0|0.0|0.0|0.0|0.15748031437397003|1.0|0.7578125|0.5|0.0|0.0|0.6000000238418579|1.0|0.0|0.0|0.0|0.5718053579330444|1.0|0.5|0.0|1.0|0.7936508059501648|1.0|0.5|0.0|0.0|0.4743117690086365|1.0|0.4920634925365448|0.5|1.0|0.230158731341362|0.7047610282897949|0.0|0.125|1.0|0.0|0.0|0.0|0.15079365670681|0.0|1.0|1.0|0.7063491940498352|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.0714285746216774|0.0|0.0|0.0|0.0|0.0|0.6000000238418579|0.0|0.0|0.0|0.0|0.4847841262817383|1.0|0.5|0.0|0.0|0.0|0.6000000238418579|1.0|0.0|0.0|0.0|0.4847841262817383|1.0|0.5|0.0|0.0|0.0|0.5|0.0|2.0|0.5|0.0|0.0|0.0|0.09375|0.0|0.0|1.0|10.0|0.65625|1.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|13.0|0.5|0.0|0.5|0.5079365372657776|0.6796875|1.0|48.0|0.5|0.0|1.0|0.5|0.0|0.609375|0.0|0.5|0.5|0.8062000274658203|0.0|0.0|1.0|0.5|0.0|1.0|0.0|0.5|0.3650793731212616|0.8062000274658203|0.0|-1.0|1.0|0.5|0.0|1.0|1.0|0.1666666716337204|0.0|0.5|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.3984375|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.3316248953342438
Analog Rising Pad:0.203125|0.0|0.296875|-0.203125|0.0|-0.296875|0.3125|0.1240234375|1.0|0.0|1.0|0.0|0.0|0.0|0.7952755689620972|1.0|1.0|0.3515625|0.1328125|1.0|0.0|1.0|0.0|0.0|0.0|0.7952755689620972|0.625|1.0|0.0|0.078125|0.59375|1.0|0.2380952388048172|0.0|-0.078125|0.5317460298538208|1.0|0.8333333134651184|0.5|6.0|0.46875|0.7047610282897949|0.0|0.0|1.0|0.234375|0.0|0.359375|0.1031746044754982|0.5|1.0|1.0|1.0|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.1240234375|1.0|1.0|1.0|1.0|0.0|0.0|0.6727272868156433|1.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.6727272868156433|1.0|0.0|1.0|1.0|0.0|0.453125|0.296875|2.0|0.824999988079071|0.0|0.0|1.0|0.0|0.0|1.0|0.0|16.0|0.7301587462425232|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|16.0|0.7301587462425232|1.0|1.0|0.682539701461792|0.5|0.0|48.0|0.5|0.0|0.0|0.5|0.0|1.0|0.0|1.0|0.60317462682724|0.8062000274658203|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.4285714328289032|0.8058600425720215|1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.1666666716337204|0.23529410362243652|0.48407644033432007|0.11764705181121826|0.35668790340423584|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.359375|1.0|0.0|0.7421875|0.453125|0.046875|0.1640625|0.296875|1.0|0.5078125|5.0|0.3888888955116272
Automotive Poly:0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.4363636374473572|0.09090909361839294|1.0|0.0|0.0|0.0|0.6909090876579285|1.0|0.8181818127632141|0.5|0.0|0.0|0.6000000238418579|1.0|0.0|0.0|0.0|0.5718053579330444|1.0|0.5|0.0|0.0|0.4743117690086365|1.0|0.5|0.0|0.0|0.4743117690086365|0.0|0.5|0.5|1.0|0.8888888955116272|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|0.7047610282897949|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6000000238418579|1.0|0.0|0.0|0.0|0.4847841262817383|1.0|0.5|0.0|0.0|0.0|0.6000000238418579|1.0|0.0|0.0|0.0|0.4847841262817383|1.0|0.5|0.0|0.0|0.0|0.5|0.0|2.0|0.5|0.0|0.0|1.0|0.5|0.0|0.0|0.0|13.0|0.7109375|0.0|0.0|0.0|1.0|0.5|0.0|0.0|0.0|13.0|0.523809552192688|0.0|1.0|0.5|0.8062000274658203|0.0|48.0|0.5|0.890625|0.0|0.5|0.0|0.0|0.0|1.0|0.5|0.8062000274658203|0.0|0.0|1.0|0.734375|0.0|2.0|0.109375|1.0|0.5|0.8062000274658203|0.0|0.0|1.0|0.5|0.0|1.0|0.0|0.1666666716337204|0.5625|0.0|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.3828125|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|3.0|0.4761904776096344
Blowout Bass Hit:0.0|-0.078125|0.0|0.0|0.078125|0.0|0.248046875|0.1240234375|0.0|1.0|0.0|0.0|0.0|0.0|0.1796875|0.0|1.0|0.421875|0.9921875|0.1171875|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.640625|-0.03125|0.0|0.5158730149269104|1.0|0.4609375|-0.03125|0.0|0.5555555820465088|1.0|0.5555555820465088|0.5|5.0|0.390625|0.7047610282897949|0.0|0.0|1.0|0.234375|0.0|0.359375|0.5476190447807312|0.5078125|0.0|1.0|0.4285714328289032|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.579365074634552|1.0|0.0|0.0|0.1240234375|0.6796875|0.7636363506317139|1.0|0.0|0.0|0.0|0.296875|1.0|0.6796875|0.0|0.609375|0.515625|1.0|1.0|0.0|0.0|0.0|0.234375|1.0|0.875|1.0|0.0|1.0|0.2890625|0.1640625|2.0|0.59375|0.0|0.53125|1.0|0.5|0.0|1.0|0.0|13.0|0.7301587462425232|1.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|16.0|0.7301587462425232|1.0|1.0|0.5|0.234375|1.0|48.0|0.5|1.0|0.0|0.5|1.0|0.0|0.0|0.6640625|0.4444444477558136|0.84375|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.515625|0.53125|0.8828125|0.0|-1.0|1.0|1.0|0.0|2.0|1.0|0.1666666716337204|0.0|0.35668790340423584|0.029411792755126953|0.6369426846504211|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.234375|1.0|1.0|0.953125|0.203125|0.046875|0.0703125|0.25|1.0|0.59375|0.0|0.23093751072883606
Bright Thin Sweep Pad:0.015625|0.0|0.7142857313156128|0.0|0.1171875|0.0|0.3984375|0.5396825671195984|0.5476190447807312|0.3671875|1.0|0.0|0.0|0.0|0.6746031641960144|0.8571428656578064|1.0|0.0|0.0|0.38834890723228455|0.109375|1.0|0.0|0.0|0.0|0.717458188533783|1.0|1.0|0.0|0.0|0.8571428656578064|0.0|0.6507936716079712|0.0|0.0|0.649118959903717|1.0|0.5158730149269104|0.5|0.0|0.3515625|0.7063491940498352|0.5158730149269104|0.203125|1.0|1.0|0.0|0.0|0.2421875|0.0|6.0|0.0|0.7401574850082397|-0.7063491940498352|0.5|0.0|1.0|0.5555555820465088|0.0|0.34375|0.3937007784843445|0.0|6.0|0.0|0.0|0.8333333134651184|0.6111111044883728|0.0|0.0|0.0|1.0|0.658730149269104|1.0|1.0|0.0|0.0|0.6746031641960144|0.7222222089767456|0.0|0.0|0.0|0.0|0.328125|1.0|0.0|0.0|1.0|0.0|0.453125|0.3046875|1.0|0.8253968358039856|0.125|0.171875|1.0|0.5|0.4140625|0.0|4.0|0.0|0.5555555820465088|0.0|0.125|0.171875|0.0|0.5|0.4140625|0.0|4.0|0.0|0.5555555820465088|0.0|0.0|0.7777777910232544|0.296875|1.0|48.0|0.5|0.0|0.1796875|0.5|0.0|0.0|0.0|1.0|0.5|0.7222222089767456|0.0|1.0|1.0|0.8650793433189392|0.0|1.0|0.0|0.0|0.6111111044883728|0.7777777910232544|0.0|1.0|1.0|0.3828125|0.0|1.0|-1.0|0.5|0.0|0.484375|-0.3515625|0.21875|0.109375|0.5|1.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.2265625|0.0|0.0|0.738095223903656|0.6190476417541504|0.3984375|0.7063491940498352|0.4140625|1.0|0.484375|3.0|0.7063491940498352
Brindali Brass:0.0|0.0|0.0|-0.125|0.0|-0.109375|0.248046875|0.5|0.0|0.6727272868156433|0.0|0.0|1.0|0.0|0.25|1.0|0.5090909004211426|0.5|0.0|0.0|0.9818181991577148|1.0|0.0|0.0|0.0|0.421875|1.0|0.800000011920929|-0.296875|0.0|0.6428571343421936|1.0|0.10285715013742447|0.0|0.0|0.3492063581943512|1.0|0.8488889336585999|0.5|1.0|0.4920634925365448|0.7047610282897949|0.0|0.0|1.0|0.234375|0.0|0.359375|0.0873015895485878|0.8125|0.0|3.0|0.3203125|0.765625|0.421875|0.46875|1.0|0.0|0.0|0.0|0.2380952388048172|0.0|1.0|0.0|0.3046875|0.0|0.6000000238418579|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.4847841262817383|1.0|0.7818182110786438|1.0|1.0|0.0|0.1640625|0.0546875|2.0|0.5|0.0|0.0|1.0|0.5|0.0|1.0|0.0|0.0|0.7301587462425232|1.0|0.0|0.0|0.0|0.8671875|0.0|1.0|4.0|0.0|0.6904761791229248|1.0|1.0|0.5|0.8062000274658203|0.0|48.0|0.5|0.0|0.0|0.5|0.0|0.5|0.0|1.0|0.5476190447807312|0.828125|0.0|-1.0|1.0|0.5|0.0|1.0|0.03125|0.1484375|0.4444444477558136|0.8828125|0.0|-1.0|1.0|0.0|0.0|1.0|1.0|0.1666666716337204|-0.125|0.47133758664131165|-0.29411768913269043|0.140625|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.1953125|0.0|0.0|0.7421875|0.0234375|0.0|0.03125|0.1015625|1.0|0.453125|4.0|0.48206350207328796
Carlos Gets Tripped:0.0|-0.078125|0.0|0.0|0.078125|0.0|0.248046875|0.1240234375|0.0|1.0|0.0|0.0|0.0|0.0|0.15625|0.0|1.0|0.25|0.1240234375|0.0|1.0|0.0|0.0|0.0|0.0|0.0390625|0.0|1.0|0.0|0.0|0.5158730149269104|1.0|0.4444444477558136|0.0|0.0|0.523809552192688|1.0|0.5396825671195984|0.5|5.0|0.4881889820098877|0.7047610282897949|0.0|0.0|1.0|0.234375|0.0|0.359375|0.341269850730896|0.0|1.0|1.0|0.3730158805847168|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.579365074634552|1.0|1.0|0.0|0.1240234375|0.34545454382896423|0.7636363506317139|1.0|0.0|0.0|0.0|0.2734375|1.0|0.3828125|0.0|0.0|0.38181817531585693|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.2109375|2.0|0.8671875|0.0|0.0|1.0|0.5|0.0|1.0|0.0|13.0|0.7301587462425232|1.0|0.0|0.0|1.0|0.5|0.0|1.0|0.0|16.0|0.7301587462425232|1.0|1.0|0.5|0.3515625|1.0|48.0|0.5|1.0|0.0|0.5|1.0|0.0|0.0|0.6484375|0.5714285969734192|0.8058600425720215|0.0|-1.0|1.0|1.0|0.0|1.0|0.0|0.140625|0.4523809552192688|0.8671875|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.1666666716337204|0.23529410362243652|0.35668790340423584|0.11764705181121826|0.6369426846504211|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.15625|1.0|0.0|0.7421875|0.3984375|0.046875|0.1640625|0.296875|1.0|0.546875|3.0|0.4444444477558136
Charry Pad:-0.34375|0.0|-0.515625|0.0|0.03125|0.0|0.0|0.0|0.828125|1.0|1.0|0.0|0.0|0.0|0.7890625|1.0|0.53125|0.0|0.0|0.5546875|0.625|1.0|0.0|0.0|0.0|0.8828125|1.0|0.9482758641242981|0.0|0.0|0.2539682686328888|1.0|0.5|0.0|0.0|0.2857142984867096|1.0|0.5079365372657776|0.5|5.0|0.3253968358039856|0.5625|0.3125|0.078125|1.0|0.46875|0.09375|0.0|0.2380952388048172|0.5546875|1.0|0.0|0.5634920597076416|0.5625|0.0|-0.234375|1.0|0.5|0.421875|0.0|0.3333333432674408|1.0|0.0|0.203125|0.0|0.8984375|0.7890625|1.0|0.0|0.0|0.0|0.9765625|1.0|0.796875|0.0|0.0|0.1015625|0.8125|1.0|0.0|0.0|0.0|0.671875|1.0|1.0|0.0|1.0|0.0|1.0|0.3515625|1.0|0.5|0.0|0.0|1.0|0.5|0.0|0.0|0.0|13.0|0.4140625|0.0|0.0|0.0|1.0|0.5|0.453125|1.0|0.0|10.0|0.5|1.0|0.1015625|0.7222222089767456|0.140625|1.0|48.0|0.5|0.0|1.0|0.5|0.0|1.0|0.0|1.0|0.5278124809265137|0.75|0.0|0.0|1.0|0.3125|12.0|1.0|0.0|0.0|0.49000000953674316|0.8203125|0.0|0.0|1.0|0.5|0.0|1.0|1.0|0.5|0.0|0.9296875|0.0|0.9299362897872925|0.140625|0.296875|1.0|3.0|0.0|0.5|0.5|0.0|0.0|0.0|0.203125|1.0|1.0|0.7746875286102295|0.0|0.0|0.0|0.0|1.0|0.5234375|5.0|0.7047892212867737
Circuit Brass Synth:0.0|0.0|0.375|0.0|0.0|0.0|0.5625|0.6875|0.125|0.953125|1.0|0.0|0.0|0.0|0.453125|0.9609375|0.6484375|0.2539682388305664|0.0|0.140625|0.8203125|1.0|0.0|0.0|0.0|0.3984375|0.921875|0.78125|0.0|0.0|0.7301587462425232|1.0|0.7536508440971375|0.0|0.0|0.682539701461792|1.0|0.34888893365859985|0.5|0.0|0.9047619104385376|0.0|0.0|0.03125|1.0|0.0|0.0|0.0|0.02380952425301075|0.7421875|0.0|0.0|0.420634925365448|0.8125|0.46875|0.09375|1.0|0.0|0.234375|0.0|0.5714285969734192|0.0|0.0|0.0|0.0|0.453125|0.6000000238418579|1.0|0.0|0.0|0.0|0.734375|1.0|0.7734375|0.1640625|0.1171875|0.546875|0.921875|1.0|0.0|0.0|0.0|0.8984375|0.9921875|0.7265625|0.0|0.0|0.0|0.5|0.0|2.0|0.5|0.0|0.9296875|1.0|0.9375|0.0|0.0|1.0|14.0|0.7857142686843872|1.0|0.0|0.0|1.0|0.5|0.0|0.0|0.0|13.0|0.341269850730896|0.0|0.5|0.5|0.8062000274658203|0.0|48.0|0.5|1.0|0.0|0.5|0.0|0.0|0.0|0.4453125|0.5634920597076416|0.9375|0.0|0.0|1.0|0.5|0.0|1.0|0.0|0.4921875|0.4682539701461792|0.796875|0.0|0.0|1.0|0.5|0.0|0.0|0.0|0.1666666716337204|0.0|0.5|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.7331249713897705|0.0|0.0|0.0|0.0|1.0|0.359375|3.0|0.22603173553943634
Dalmation Bass:0.0|0.0|0.0|-0.0625|0.0|-0.109375|0.248046875|0.5|0.0|0.6727272868156433|0.0|0.0|1.0|0.0|0.3203125|1.0|0.5090909004211426|0.5|0.0|0.2109375|0.9818181991577148|1.0|0.0|0.0|0.0|0.296875|1.0|0.8359375|0.0|0.0|0.7857142686843872|1.0|0.484375|0.0|0.0|0.4761904776096344|1.0|0.5625|0.5|1.0|0.3515625|0.6552881002426147|0.0|0.0|1.0|0.234375|0.0|0.359375|0.1171875|0.0|0.0|1.0|0.2460317462682724|0.7047610282897949|0.0|0.0|1.0|0.0|0.0|0.0|0.341269850730896|0.0|1.0|0.0|0.0859375|0.0|0.6545454263687134|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.4847841262817383|1.0|0.7818182110786438|1.0|1.0|1.0|0.3515625|0.0|2.0|0.53125|0.0|0.0|1.0|0.5|0.0|1.0|0.0|0.0|0.7301587462425232|1.0|0.0|0.0|0.0|0.5|0.0|1.0|4.0|0.0|0.6904761791229248|1.0|1.0|0.5|0.8062000274658203|0.0|48.0|0.5|0.0|0.0|0.5|0.0|0.5|0.0|1.0|0.460317462682724|0.890625|0.0|-1.0|1.0|0.5|-12.0|2.0|0.0|0.1953125|0.5476190447807312|0.890625|0.0|-1.0|1.0|0.0|7.0|1.0|2.0|0.1666666716337204|-0.20588237047195435|0.23566879332065582|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.0|0.03125|0.0|0.0|0.796875|0.0|0.0|0.1640625|0.046875|1.0|0.484375|0.0|0.49174606800079346
