@params:A Coarse|A Fine|A Fix Freq|A Fix Freq Mul|A Fix On |A Freq<Vel|A Quantize|Ae Attack|Ae Decay|Ae Init|Ae Loop|Ae Mode|Ae Peak|Ae R < Vel|Ae Release|Ae Retrig|Ae Sustain|Algorithm|B Coarse|B Fine|B Fix Freq|B Fix Freq Mul|B Fix On |B Freq<Vel|B Quantize|Be Attack|Be Decay|Be Init|Be Loop|Be Mode|Be Peak|Be R < Vel|Be Release|Be Retrig|Be Sustain|C Coarse|C Fine|C Fix Freq|C Fix Freq Mul|C Fix On |C Freq<Vel|C Quantize|Ce Attack|Ce Decay|Ce Init|Ce Loop|Ce Mode|Ce Peak|Ce R < Vel|Ce Release|Ce Retrig|Ce Sustain|D Coarse|D Fine|D Fix Freq|D Fix Freq Mul|D Fix On |D Freq<Vel|D Quantize|De Attack|De Decay|De Init|De Loop|De Mode|De Peak|De R < Vel|De Release|De Retrig|De Sustain|Fe A Slope|Fe Amount|Fe Attack|Fe D Slope|Fe Decay|Fe End|Fe Init|Fe Loop|Fe Mode|Fe Peak|Fe R < Vel|Fe R Slope|Fe Release|Fe Retrig|Fe Sustain|Filt < Key|Filt < LFO|Filt < Vel|Filter Circuit - BP/NO/Morph|Filter Circuit - LP/HP|Filter Drive|Filter Freq|Filter Morph|Filter On|Filter Res|Filter Slope|Filter Type|Glide On|Glide Time|LFO < Pe|LFO < Vel|LFO Amt|LFO Amt A|LFO Amt B|LFO Dst B|LFO On|LFO R < K|LFO Range|LFO Rate|LFO Retrigger|LFO Sync|LFO Type|Le Attack|Le Decay|Le End|Le Init|Le Loop|Le Mode|Le Peak|Le R < Vel|Le Release|Le Retrig|Le Sustain|Osc-A < LFO|Osc-A < Pe|Osc-A Feedb|Osc-A Lev < Key|Osc-A Lev < Vel|Osc-A Level|Osc-A On|Osc-A Phase|Osc-A Retrig|Osc-A Wave|Osc-B < LFO|Osc-B < Pe|Osc-B Feedb|Osc-B Lev < Key|Osc-B Lev < Vel|Osc-B Level|Osc-B On|Osc-B Phase|Osc-B Retrig|Osc-B Wave|Osc-C < LFO|Osc-C < Pe|Osc-C Feedb|Osc-C Lev < Key|Osc-C Lev < Vel|Osc-C Level|Osc-C On|Osc-C Phase|Osc-C Retrig|Osc-C Wave|Osc-D < LFO|Osc-D < Pe|Osc-D Feedb|Osc-D Lev < Key|Osc-D Lev < Vel|Osc-D Level|Osc-D On|Osc-D Phase|Osc-D Retrig|Osc-D Wave|PB Range|Pan < Key|Pan < Rnd|Panorama|Pe A Slope|Pe Amount|Pe Amt A|Pe Amt B|Pe Attack|Pe D Slope|Pe Decay|Pe Dst B|Pe End|Pe Init|Pe Loop|Pe Mode|Pe On|Pe Peak|Pe R < Vel|Pe R Slope|Pe Release|Pe Retrig|Pe Sustain|Shaper Drive|Shaper Mix|Shaper Type|Spread|Time|Time < Key|Tone|Transpose|Volume
5ths Detuned Pad:3.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.5476464033126831|0.8830526471138|0.6271186470985413|0.5397940278053284|0.0|1.0|0.0|0.8047251105308533|3.0|0.8305084705352783|7.0|3.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.8359439373016357|0.8362737894058228|1.0|0.75|1.0|0.7118644118309021|0.0|1.0|3.0|1.0|2.0|16.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.5789896845817566|1.0294698427060212e-07|0.5397940278053284|0.0|0.5423728823661804|0.0|0.8047251105308533|3.0|1.0|1.0|8.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.5814281105995178|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|4.0|75.0|0.0|0.0|0.899955153465271|0.0|0.0|0.5397940278053284|0.0|1.0|0.0|0.13385824859142303|1.0|3.0|0.546875|0.0|0.0|39.0|0.0|0.0|0.0|0.13385824859142303|0.0|1.0|0.2573636770248413|0.0|4.0|0.0|0.0|1.0|0.0|0.014800000004470348|100.0|100.0|0.0|1.0|0.03125|0.0|89.66200256347656|1.0|3.0|2.0|0.0|0.5814281105995178|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|100.0|1.0|8.0|1.0|1.0|0.0|0.0|0.0|0.6141732335090637|1.0|22.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.8661417365074158|1.0|0.0|1.0|11.0|1.0|0.0|45.0|0.0|0.0|0.8267716765403748|1.0|0.0|1.0|4.0|12.0|0.0|0.0|0.0|0.0|0.08661417663097382|100.0|100.0|0.0|1.0|0.47373712062835693|0.0|0.0|-23.0|0.5397940278053284|0.0|1.0|-12.0|0.0|1.0|0.6301369667053223|3.0|0.0|0.0|100.0|0.0|0.0|0.0|-6.0|0.6062992215156555|-12.0|0.3650793731212616
5ths Filter Sweep Pad:1.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.44552239775657654|0.5814281105995178|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.5648565888404846|3.0|1.0|4.0|1.0|500.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.0|0.5814281105995178|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|14.0|1.0|3.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.8249173760414124|0.7225425243377686|1.0294698427060212e-07|0.5397940278053284|2.0|0.7599999904632568|0.0|0.35557058453559875|12.0|0.022411245852708817|1.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.0|0.5814281105995178|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|4.0|100.0|0.8445757031440735|0.0|0.5814281105995178|0.0|0.10000000149011612|0.5397940278053284|2.0|0.8199999928474426|0.0|0.4173228442668915|0.35557058453559875|12.0|0.8199999928474426|0.0|0.0|0.0|0.0|0.0|0.0|0.4173228442668915|0.0|1.0|0.3674452006816864|0.0|4.0|0.0|0.6954242587089539|1.0|0.0|0.052000001072883606|100.0|100.0|0.0|1.0|0.0|0.0|100.07599639892578|1.0|3.0|0.0|0.0|0.5814281105995178|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|15.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|4.0|1.0|1.0|0.0|0.0|0.0|0.75|1.0|0.0|1.0|11.0|1.0|1.0|0.0|0.0|0.0|1.0294698427060212e-07|0.0|0.0|1.0|0.0|5.0|50.0|33.0|0.0|0.0|1.0|100.0|100.0|0.0|1.0|0.5814281105995178|0.0|0.0|12.0|0.5397940278053284|0.0|0.0|12.0|0.0|1.0|0.35557058453559875|3.0|0.0|0.0|100.0|0.0|62.0|0.0|0.0|0.7952755689620972|0.0|0.3333333432674408
5ths Glass Motion Pad:1.0|5.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.7727272510528564|0.581428050994873|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.8484823703765869|3.0|0.4399999976158142|10.0|2.0|6.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.581428050994873|1.0294698427060212e-07|0.5397940278053284|0.0|0.9200000166893005|0.0|0.734375|3.0|0.578125|3.0|8.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.761363685131073|0.8068181872367859|1.0294698427060212e-07|0.5397940278053284|0.0|0.953125|0.0|0.574999988079071|3.0|0.25|1.0|502.0|0.20311042666435242|4.0|0.0|0.0|1.0|0.7272727489471436|0.581428050994873|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.699999988079071|3.0|0.6800000071525574|4.0|46.0|0.15000000596046448|0.0|0.6585139036178589|0.0|0.10000000149011612|0.5397940278053284|0.0|0.7599999904632568|0.0|0.6875|0.6499999761581421|3.0|0.5400000214576721|70.0|0.0|0.0|0.0|0.0|0.0|0.6875|0.0|1.0|0.3122606873512268|0.0|4.0|0.0|0.6954242587089539|0.0|0.421875|0.03999999910593033|100.0|100.0|0.0|1.0|0.671875|0.0|78.73999786376953|1.0|3.0|0.0|0.0|0.5814281105995178|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557055473327637|3.0|1.0|1.0|0.0|0.0|0.0|70.0|0.7777777910232544|1.0|0.0|1.0|19.0|1.0|0.0|0.0|0.0|0.0|0.84375|1.0|0.0|1.0|3.0|1.0|0.0|0.0|0.0|-34.0|0.3478715419769287|1.0|0.0|1.0|3.0|1.0|1.0|31.0|0.0|0.0|0.828740119934082|1.0|0.0|1.0|3.0|5.0|0.0|0.0|0.0|0.0|0.23809528350830078|100.0|100.0|0.02500000223517418|1.0|0.5814281105995178|0.0|0.0|12.0|0.5397940278053284|0.0|1.0|0.0|0.0|1.0|0.35557055473327637|3.0|0.0|0.0|100.0|1.0|46.0|0.0|0.0|0.3834645748138428|0.0|0.5634920597076416
8bit Explosion:1.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.7159090638160706|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|0.0|7.0|1.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.581428050994873|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|1.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.7159090638160706|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|0.0|1.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.0|0.581428050994873|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|0.0|0.0|0.0|0.0|0.581428050994873|0.0|0.0|0.5397940278053284|0.0|1.0|0.0|1.0|0.35557058453559875|3.0|0.0|100.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.5397940278053284|1.0|0.0|1.0|100.0|100.0|0.0|1.0|0.0|1.0|107.15625|0.0|3.0|5.0|0.0|0.75|0.0|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|1.0|1.0|0.0|0.0|25.0|0.7222222089767456|1.0|0.0|1.0|18.0|1.0|1.0|0.0|0.0|0.0|0.6746031641960144|1.0|0.0|1.0|20.0|1.0|1.0|0.0|0.0|0.0|0.420634925365448|1.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.4126983880996704|100.0|100.0|0.0|1.0|0.7734375|0.0|0.0|12.0|0.5397940278053284|0.0|1.0|12.0|0.0|1.0|0.35557058453559875|3.0|0.0|0.0|100.0|0.0|100.0|0.0|0.0|0.699999988079071|0.0|0.659970223903656
12 String Guitar:1.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.02325148694217205|0.8132498264312744|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.65625|3.0|0.02343750186264515|0.0|3.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.171875|0.666517436504364|1.0294698427060212e-07|0.5397940278053284|0.0|0.875|0.0|0.7578125|3.0|0.4375|8.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.09375|0.41974034905433655|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.8203125|3.0|0.7265625|16.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.2890625|0.38639208674430847|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.75|3.0|0.4375|4.0|57.0|0.0|0.0|0.9132944941520691|0.0|0.015625|0.5397940278053284|0.0|1.0|0.0|0.8650793433189392|0.890625|3.0|0.5703125|-22.0|0.0|100.0|0.0|0.0|0.0|0.8650793433189392|0.0|1.0|0.3174603283405304|1.0|4.0|0.0|0.6179999709129333|0.0|0.0|0.10000000149011612|100.0|100.0|0.0|1.0|0.0|0.0|95.75396728515625|1.0|3.0|0.0|0.0|0.5814281105995178|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|1.0|1.0|0.0|0.0|42.0|0.9055117964744568|1.0|0.0|1.0|22.0|1.0|0.0|0.0|3.0|43.0|0.5396825671195984|1.0|12.0|1.0|0.0|1.0|1.0|0.0|0.0|49.0|0.7301587462425232|1.0|0.0|1.0|0.0|1.0|1.0|100.0|0.0|60.0|0.7857142686843872|1.0|25.0|1.0|6.0|5.0|0.0|0.0|0.0|0.0|0.023622047156095505|100.0|100.0|0.0|1.0|0.3397044837474823|0.0|0.0|12.0|0.5397940278053284|0.0|1.0|12.0|0.0|1.0|0.35557058453559875|3.0|0.0|0.0|100.0|0.0|3.0|4.0|0.0|0.761904776096344|0.0|0.4249422550201416
Acid Bass:0.0|0.0|0.36220473051071167|5.0|0.0|0.0|1.0|0.0|0.7532228827476501|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.0468750037252903|0.0|1.0|8.0|2.0|0.0|0.6377952694892883|5.0|0.0|0.0|0.0|0.0|0.5064457654953003|1.0294698427060212e-07|0.0|0.0|1.0|0.0|0.1171875|3.0|0.9921875|1.0|0.0|0.7637795209884644|2.0|0.0|0.0|0.0|0.0|0.581428050994873|1.0294698427060212e-07|0.203125|0.0|1.0|0.0|0.35557055473327637|5.0|1.0|0.0|0.0|0.8503937125205994|4.0|0.0|0.0|0.0|0.0|0.581428050994873|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557055473327637|3.0|1.0|4.0|93.0|0.0|0.0|0.65625|0.0|0.10000000149011612|0.5397940278053284|0.0|1.0|0.0|0.0|0.6171875|3.0|0.0859375|-14.0|1.0|70.0|0.0|0.0|0.0|0.0|0.0|1.0|0.5440734028816223|0.0|4.0|0.0|0.0|0.0|0.0|0.3253968358039856|100.0|100.0|0.0|1.0|0.0|0.0|95.0|1.0|3.0|1.0|0.0|0.581428050994873|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|0.0|0.0|40.0|0.0|0.0|1.0|1.0|0.0|1.0|10.0|0.0|0.0|0.0|0.0|0.0|0.6929134130477905|1.0|0.0|1.0|10.0|0.0|1.0|0.0|0.0|0.0|1.0294698427060212e-07|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0294698427060212e-07|1.0|0.0|1.0|10.0|2.0|0.0|0.0|0.0|0.0|0.109375|100.0|100.0|0.0|1.0|0.27300798892974854|0.0|0.0|12.0|1.0|1.0|0.0|48.0|23.0|1.0|1.0|3.0|-1.0|0.0|100.0|0.0|0.0|18.0|-1.0|0.0|12.0|0.5476190447807312
Agenda Lead:0.0|0.0|0.0|3.0|0.0|0.0|1.0|0.9765625|0.75|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|13.0|0.20454545319080353|3.0|0.9375|9.0|1.0|5.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.21590909361839294|0.8522727489471436|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.23863635957241058|3.0|0.890625|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.125|0.6136363744735718|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.23863635957241058|3.0|0.75|0.0|0.0|0.3499999940395355|5.0|0.0|0.0|1.0|0.0|0.3863636255264282|1.0294698427060212e-07|0.5397940278053284|0.0|0.5|0.0|0.6818181872367859|3.0|0.984375|0.0|62.0|0.1484375|0.0|0.7724409699440002|0.0|0.03125|0.5397940278053284|0.0|1.0|0.0|0.341269850730896|0.8767123222351074|3.0|0.421875|-42.0|0.0|-16.0|0.0|0.0|0.0|0.341269850730896|0.0|1.0|0.773809552192688|0.0|0.0|1.0|0.4580000042915344|0.0|0.0|0.0|100.0|100.0|0.0|1.0|0.03125|0.0|104.1796875|0.0|3.0|0.0|0.0|0.5789896845817566|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|1.0|0.0|77.0|0.0|0.0|0.8888888955116272|1.0|0.0|0.0|22.0|1.0|1.0|38.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|17.0|0.0|0.0|0.9365079402923584|1.0|0.0|1.0|22.0|1.0|1.0|73.0|0.0|13.0|0.5873016119003296|1.0|0.0|1.0|22.0|2.0|0.0|0.0|0.0|0.7333333492279053|0.0476190485060215|100.0|100.0|0.46590909361839294|1.0|0.84375|20.0|-2.0|45.0|0.5397940278053284|0.0|1.0|-1.0|0.0|1.0|0.17045454680919647|3.0|0.0|8.4375|2.0|1.0|52.0|0.0|53.0|0.2777777910232544|0.0|0.5634920597076416
All Star:1.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.6931818127632141|0.8068181872367859|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|0.0|6.0|1.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.35227271914482117|0.5227272510528564|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|0.0|4.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.1818181872367859|0.7272727489471436|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|0.0|2.0|0.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.3863636255264282|0.7159090638160706|0.0|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|0.0|0.0|54.0|0.15909090638160706|2.0|0.125|0.03448275849223137|0.0|0.5397940278053284|0.0|1.0|0.0|0.7222222089767456|0.04545454680919647|3.0|1.0|0.0|0.0|0.0|0.0|2.0|4.125|0.7222222089767456|0.0|1.0|0.6051587462425232|1.0|0.0|0.0|0.6140000224113464|1.0|0.0|1.0|100.0|100.0|23.0|0.0|0.0|0.0|39.30952453613281|1.0|3.0|0.0|0.034090906381607056|0.17045454680919647|0.0|0.0|0.5397940278053284|0.0|0.982758641242981|0.0|0.35557058453559875|3.0|0.0|0.0|1.0|0.0|0.0|0.0|0.7539682388305664|1.0|0.0|1.0|15.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|16.0|0.0|1.0|18.0|0.0|0.0|0.8571428656578064|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.738095223903656|1.0|0.0|1.0|16.0|5.0|0.0|0.0|0.0|0.0|-1.0|100.0|100.0|0.2734375|1.0|0.5625|0.0|24.0|48.0|0.5397940278053284|0.0|1.0|-48.0|0.0|1.0|0.0|3.0|24.0|11.8125|100.0|3.0|51.0|-34.0|0.0|0.5625|-24.0|0.6468174457550049
Ambient Vocal:1.0|1000.0|0.4345879852771759|4.0|0.0|0.0|0.0|0.75|0.581428050994873|0.0|0.5397940278053284|0.0|1.0|0.0|0.78125|3.0|1.0|10.0|1.0|503.0|0.4345879852771759|4.0|0.0|0.0|0.0|0.75|0.581428050994873|0.0|0.5397940278053284|0.0|1.0|0.0|0.78125|3.0|1.0|0.0|1000.0|0.4345879852771759|4.0|0.0|0.0|0.0|0.75|0.581428050994873|0.0|0.5397940278053284|0.0|1.0|0.0|0.78125|3.0|1.0|0.0|988.0|0.4345879852771759|4.0|0.0|0.0|0.0|0.75|0.581428050994873|0.0|0.5397940278053284|0.0|1.0|0.0|0.78125|3.0|1.0|0.0|0.0|0.0|0.0|0.581428050994873|0.0|0.0|0.5397940278053284|0.0|1.0|0.0|0.4761904776096344|0.35557058453559875|3.0|0.0|43.0|0.0|0.0|0.0|0.0|0.0|0.4761904776096344|0.0|1.0|0.7110353708267212|0.0|0.0|0.0|0.5397940278053284|1.0|0.0|0.1031746044754982|100.0|100.0|0.0|1.0|0.0|0.0|91.72222137451172|1.0|3.0|0.0|0.0|0.581428050994873|0.0|0.0|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|1.0|1.0|23.0|0.0|0.0|0.9682539701461792|1.0|0.0|0.0|22.0|0.0|1.0|23.0|0.0|0.0|0.976190447807312|1.0|0.0|0.0|22.0|1.0|1.0|23.0|0.0|0.0|0.8888888955116272|1.0|0.0|0.0|22.0|0.0|1.0|23.0|0.0|0.0|0.9047619104385376|1.0|0.0|0.0|22.0|3.0|0.0|0.0|0.0|0.0|0.0|100.0|100.0|0.0|1.0|0.581428050994873|0.0|0.0|12.0|0.5397940278053284|0.0|1.0|12.0|0.0|1.0|0.35557058453559875|3.0|0.0|0.0|100.0|0.0|84.0|0.0|0.0|0.4921875|0.0|0.3599998652935028
Analog Bouquet Brass:0.0|0.0|0.0|3.0|0.0|0.0|1.0|0.9765625|0.75|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|13.0|0.20454545319080353|3.0|0.9375|9.0|0.0|5.0|0.4345879852771759|4.0|0.0|0.0|1.0|0.21590909361839294|0.8522727489471436|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.23863635957241058|3.0|0.890625|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.125|0.6136363744735718|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.23863635957241058|3.0|0.75|0.0|0.0|0.3499999940395355|5.0|0.0|0.0|1.0|0.0|0.3863636255264282|1.0294698427060212e-07|0.5397940278053284|0.0|0.5|0.0|0.6818181872367859|3.0|0.984375|0.0|62.0|0.5703125|0.0|0.7724409699440002|0.0|0.03125|0.5397940278053284|0.0|1.0|0.0|0.341269850730896|0.8767123222351074|3.0|0.421875|-42.0|0.0|-16.0|0.0|0.0|0.0|0.341269850730896|0.0|1.0|0.2678571343421936|0.0|0.0|0.0|0.4580000042915344|0.0|0.0|0.0|100.0|100.0|0.0|1.0|0.03125|0.0|104.1796875|0.0|3.0|0.0|0.0|0.5789896845817566|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|1.0|0.0|77.0|0.0|0.0|0.8888888955116272|1.0|0.0|0.0|22.0|1.0|1.0|38.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|17.0|0.0|0.0|0.9365079402923584|1.0|0.0|1.0|18.0|1.0|1.0|73.0|0.0|13.0|0.5873016119003296|1.0|0.0|1.0|22.0|2.0|0.0|0.0|0.0|0.7333333492279053|0.0476190485060215|100.0|100.0|0.46590909361839294|1.0|0.84375|20.0|-2.0|45.0|0.5397940278053284|0.0|1.0|-1.0|0.0|1.0|0.17045454680919647|3.0|0.0|10.4375|2.0|1.0|18.0|0.0|53.0|0.2777777910232544|12.0|0.4375
Analog HiHat Bleep:1.0|0.0|0.3248749375343323|4.0|1.0|0.0|1.0|0.0|0.9181367754936218|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|-12.0|0.7734375|3.0|0.46875|0.0|0.0|724.0|0.7900000214576721|4.0|1.0|0.0|0.0|0.0|0.45034757256507874|1.0294698427060212e-07|0.5397940278053284|0.0|0.7288135886192322|12.0|0.574999988079071|3.0|1.0294698427060212e-07|10.0|0.0|0.20311042666435242|4.0|0.0|0.0|0.0|0.0|0.957314133644104|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|31.0|0.574999988079071|3.0|0.11999999731779099|25.0|0.0|0.20311042666435242|4.0|0.0|0.0|0.0|0.0|0.9999998807907104|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.6000000238418579|3.0|1.0|4.0|11.0|0.0|0.0|0.836273729801178|0.0|0.0|0.5397940278053284|0.0|1.0|28.0|0.7142857313156128|0.5078125|3.0|0.1875|-200.0|0.0|27.0|0.0|0.0|0.0|0.7142857313156128|0.25|1.0|0.1884920597076416|0.0|4.0|0.0|0.6954242587089539|1.0|0.0|1.0|100.0|100.0|0.0|0.0|0.0|1.0|121.66600036621094|1.0|3.0|5.0|0.25|0.9999998807907104|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557055473327637|3.0|1.0294698427060212e-07|1.0|1.0|0.0|1.0|7.0|0.9444444179534912|1.0|0.0|1.0|0.0|1.0|0.0|0.0|53.0|71.0|0.9682539701461792|1.0|0.0|1.0|0.0|1.0|1.0|0.0|42.0|45.0|0.890625|1.0|0.0|1.0|22.0|1.0|1.0|0.0|25.0|57.0|0.9370078444480896|0.0|0.0|1.0|22.0|8.0|0.0|0.0|0.0|0.0|0.5905511975288391|100.0|100.0|0.0|1.0|0.6931959986686707|0.0|0.0|-48.0|0.9296875|1.0|1.0|33.0|0.0|1.0|0.0|0.0|-48.0|-12.0|100.0|2.0|0.0|-30.0|-1.0|1.0|-17.0|0.6507936716079712
Analog Slow Sweep Pad:1.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.6818182468414307|0.6491580605506897|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.739587128162384|3.0|0.8644067645072937|7.0|1.0|0.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.8493150472640991|0.5814281105995178|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|2.0|5.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.8082191944122314|0.6491580605506897|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.739587128162384|3.0|0.8644067645072937|4.0|260.0|0.4345880150794983|4.0|0.0|0.0|1.0|0.8493150472640991|0.5814281105995178|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|1.0|3.0|1.0|4.0|0.0|0.0|0.0|0.8869978189468384|0.0|0.10000000149011612|0.5397940278053284|0.0|1.0|0.0|1.0|0.35557058453559875|3.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|4.0|0.0|0.6954242587089539|1.0|0.0|0.0|100.0|100.0|0.0|1.0|0.0|2.0|0.0|1.0|9.0|6.0|0.0|0.5814281105995178|1.0294698427060212e-07|1.0294698427060212e-07|0.5397940278053284|0.0|1.0|0.0|0.35557058453559875|3.0|1.0|0.0|1.0|0.0|0.0|51.0|1.0|1.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.42519688606262207|1.0|0.0|1.0|22.0|0.0|1.0|0.0|0.0|51.0|0.6621555089950562|1.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.6111111044883728|1.0|0.0|1.0|22.0|5.0|0.0|0.0|0.0|0.0|0.0|100.0|100.0|0.0|1.0|0.5814281105995178|0.0|0.0|12.0|0.5397940278053284|0.0|0.0|12.0|0.0|1.0|0.35557058453559875|3.0|0.0|0.0|100.0|0.0|70.0|0.0|0.0|0.3968254029750824|0.0|0.3333333432674408
